No	Sample	N_SNPs	GD1_x	GD2_y	GD3_z	F_percent	E_percent	A_percent	hpgpAfrica	hpgpAfrica-distant	hpgpAfroamerica	hpgpEuroamerica	hpgpMediterranea	hpgpEurope	hpgpEurasia	hpgpAsia	hpgpAklavik86-like	Refpop	Nearest_neighbor	Separation_percent
124	HpGP-CHI-210	44787	1.370872	1.266022	0.002315	17.85	82.15	0	0.384294	0.575178	0.305432	0.26217	0.238215	0.264514	0.33779	0.481272	0.467271	hpgpMediterranea	hpgpEuroamerica	10.06
125	HpGP-CHI-212	44787	1.309143	1.212217	0.007273	39.36	59.15	1.49	0.341072	0.570469	0.282539	0.252085	0.272282	0.290355	0.352922	0.482387	0.465612	hpgpEuroamerica	hpgpMediterranea	8.01
126	HpGP-CHN-001	44787	1.773011	1.091464	-0.015539	0.81	0	99.19	0.476877	0.56919	0.364745	0.323318	0.333247	0.300503	0.249585	0.163021	0.287368	hpgpAsia	hpgpEurasia	53.1
127	HpGP-CHN-002	44787	1.765326	1.101574	-0.007198	0	0.83	99.17	0.480918	0.576989	0.368201	0.325464	0.335738	0.304293	0.255785	0.17536	0.297963	hpgpAsia	hpgpEurasia	45.86
128	HpGP-CHN-003	44787	1.76769	1.08925	-0.011001	1.96	0	98.04	0.475744	0.573323	0.366085	0.326025	0.336314	0.305418	0.255832	0.165698	0.291225	hpgpAsia	hpgpEurasia	54.4
129	HpGP-CHN-004	44787	1.767036	1.096607	-0.011523	0.55	0	99.45	0.477993	0.574809	0.366258	0.32492	0.335821	0.302298	0.251703	0.170308	0.294771	hpgpAsia	hpgpEurasia	47.79
130	HpGP-CHN-005	44787	1.771153	1.097493	-0.005652	0	0	100	0.482427	0.573373	0.370697	0.32673	0.338662	0.30695	0.257406	0.170312	0.293326	hpgpAsia	hpgpEurasia	51.14
131	HpGP-CHN-006	44787	1.767334	1.096654	-0.007806	0.5	0	99.5	0.479663	0.575137	0.36857	0.327523	0.336698	0.305501	0.255683	0.1712	0.295251	hpgpAsia	hpgpEurasia	49.35
132	HpGP-CHN-007	44787	1.77142	1.090869	-0.014902	1.14	0	98.86	0.476267	0.570329	0.364695	0.322781	0.333026	0.301323	0.252046	0.163665	0.288225	hpgpAsia	hpgpEurasia	54
133	HpGP-CHN-008	44787	1.733603	1.105566	-0.01507	3.28	2.93	93.78	0.466161	0.571748	0.358982	0.316911	0.326291	0.296961	0.258774	0.192056	0.303725	hpgpAsia	hpgpEurasia	34.74
134	HpGP-CHN-009	44787	1.771433	1.095387	-0.007803	0.21	0	99.79	0.480874	0.575538	0.368107	0.326265	0.337466	0.305841	0.256101	0.168314	0.291652	hpgpAsia	hpgpEurasia	52.16
135	HpGP-CHN-010	44787	1.768963	1.09209	-0.0087	1.23	0	98.77	0.478268	0.57396	0.3681	0.326739	0.337399	0.306342	0.254754	0.167372	0.293835	hpgpAsia	hpgpEurasia	52.21
136	HpGP-COG-001	44787	1.028339	1.076	-0.023293	96.1	0	3.9	0.162874	0.548748	0.194054	0.256357	0.277405	0.3221	0.397616	0.538001	0.496459	hpgpAfrica	hpgpAfroamerica	19.14
137	HpGP-COG-002	44787	1.336218	1.261788	0.010051	22.51	77.49	0	0.371712	0.577841	0.299479	0.258689	0.253512	0.273839	0.345784	0.498834	0.484908	hpgpMediterranea	hpgpEuroamerica	2.04
138	HpGP-COG-003	44787	1.022357	1.074256	-0.02535	96.39	0	3.61	0.158928	0.550949	0.191456	0.254792	0.275903	0.321131	0.398325	0.539495	0.495153	hpgpAfrica	hpgpAfroamerica	20.47
139	HpGP-COG-004	44787	1.024583	1.075644	-0.025337	96.47	0	3.53	0.160361	0.550399	0.192505	0.254357	0.275469	0.320568	0.396176	0.539177	0.498248	hpgpAfrica	hpgpAfroamerica	20.04
140	HpGP-COG-005	44787	1.029476	1.080107	-0.017421	97.03	0	2.97	0.167283	0.555694	0.198932	0.259729	0.281444	0.325668	0.401097	0.541486	0.499955	hpgpAfrica	hpgpAfroamerica	18.92
141	HpGP-COG-006	44787	1.026573	1.073655	-0.029708	95.72	0	4.28	0.158638	0.54388	0.189971	0.253245	0.274247	0.317436	0.394167	0.535752	0.494209	hpgpAfrica	hpgpAfroamerica	19.75
142	HpGP-COG-007	44787	1.034334	1.086856	-0.012092	98.24	0	1.76	0.173974	0.55516	0.205138	0.264631	0.284477	0.327686	0.403291	0.544474	0.5043	hpgpAfrica	hpgpAfroamerica	17.91
143	HpGP-COG-008	44787	1.021056	1.072345	-0.025115	96.06	0	3.94	0.157783	0.551528	0.191708	0.255688	0.278279	0.322073	0.399453	0.539088	0.49574	hpgpAfrica	hpgpAfroamerica	21.5
144	HpGP-COG-009	44787	1.030787	1.07615	-0.030225	95.83	0	4.17	0.161077	0.5471	0.188647	0.251515	0.272789	0.315947	0.39278	0.53492	0.495087	hpgpAfrica	hpgpAfroamerica	17.12
145	HpGP-COG-010	44787	1.028377	1.074197	-0.028788	95.63	0	4.37	0.159957	0.545773	0.191906	0.252818	0.273936	0.317982	0.393357	0.535394	0.493916	hpgpAfrica	hpgpAfroamerica	19.97
146	HpGP-COG-011	44787	1.030739	1.074256	-0.024125	95.36	0	4.64	0.162867	0.55214	0.194654	0.25765	0.277208	0.32194	0.397691	0.535482	0.494938	hpgpAfrica	hpgpAfroamerica	19.52
147	HpGP-COL-002	44787	1.353399	1.262755	-0.004355	20.53	79.47	0	0.373176	0.571407	0.299757	0.25742	0.241032	0.260444	0.336924	0.48655	0.476889	hpgpMediterranea	hpgpEuroamerica	6.8
148	HpGP-COL-003	44787	1.176015	1.15997	0.00047	68.68	31.32	0	0.264335	0.561241	0.223856	0.254758	0.270723	0.307582	0.377474	0.51826	0.485985	hpgpAfroamerica	hpgpEuroamerica	13.8
149	HpGP-COL-004	44787	1.347365	1.265647	0.002312	20.4	79.6	0	0.374524	0.572459	0.29808	0.25891	0.244527	0.265365	0.34181	0.493243	0.47703	hpgpMediterranea	hpgpEuroamerica	5.88
150	HpGP-COL-005	44787	1.34206	1.251349	0.009841	24.75	75.25	0	0.370144	0.580158	0.299949	0.265238	0.251647	0.277291	0.349477	0.489484	0.472244	hpgpMediterranea	hpgpEuroamerica	5.4
151	HpGP-COL-006	44787	1.200806	1.172801	0.003831	62.17	37.83	0	0.280639	0.569305	0.227573	0.256611	0.272908	0.305061	0.375442	0.514014	0.483551	hpgpAfroamerica	hpgpEuroamerica	12.76
152	HpGP-COL-008	44787	1.320019	1.230015	-0.000368	33.14	66.86	0	0.348988	0.568089	0.283949	0.236836	0.259662	0.276884	0.344589	0.485325	0.470941	hpgpEuroamerica	hpgpMediterranea	9.64
153	HpGP-COL-010	44787	1.340942	1.26345	0.000519	21.61	78.39	0	0.370338	0.570273	0.298119	0.260016	0.244394	0.264805	0.345153	0.494766	0.480716	hpgpMediterranea	hpgpEuroamerica	6.39
154	HpGP-COL-102	44787	1.196235	1.172508	0.006164	62.53	37.47	0	0.279619	0.563757	0.227696	0.257803	0.273985	0.307334	0.377132	0.516849	0.48696	hpgpAfroamerica	hpgpEuroamerica	13.22
155	HpGP-COL-103	44787	1.304124	1.214299	-0.009313	39.61	60.25	0.14	0.332957	0.56689	0.271291	0.234571	0.255816	0.275334	0.344794	0.481693	0.464282	hpgpEuroamerica	hpgpMediterranea	9.06
156	HpGP-COL-104	44787	1.326428	1.235338	0.008976	30.9	69.1	0	0.357439	0.575389	0.284645	0.23937	0.263427	0.282864	0.34869	0.487755	0.47277	hpgpEuroamerica	hpgpMediterranea	10.05
157	HpGP-COL-105	44787	1.326463	1.254646	0.011075	25.36	74.64	0	0.365486	0.574382	0.2967	0.262639	0.251142	0.277635	0.350738	0.499893	0.48089	hpgpMediterranea	hpgpEuroamerica	4.58
158	HpGP-COL-106	44787	1.334837	1.266245	0.004849	21.5	78.5	0	0.370658	0.572022	0.29876	0.260212	0.243699	0.267733	0.345655	0.500797	0.483769	hpgpMediterranea	hpgpEuroamerica	6.78
159	HpGP-COL-107	44787	1.332746	1.23526	0.012019	30.33	69.67	0	0.361252	0.573894	0.293113	0.252182	0.267322	0.285344	0.351048	0.485264	0.475148	hpgpEuroamerica	hpgpMediterranea	6
160	HpGP-COL-108	44787	1.170914	1.159711	0.001114	69.01	30.99	0	0.262414	0.562949	0.219509	0.256041	0.272166	0.308391	0.380031	0.520927	0.487234	hpgpAfroamerica	hpgpEuroamerica	16.64
161	HpGP-COL-109	44787	1.220717	1.18114	0.0055	57.76	42.24	0	0.29258	0.566879	0.238933	0.25813	0.271808	0.302859	0.369619	0.509142	0.485203	hpgpAfroamerica	hpgpEuroamerica	8.03
162	HpGP-COL-110	44787	1.294299	1.23114	0.008326	35.05	64.95	0	0.34245	0.570219	0.280521	0.246387	0.263008	0.284811	0.356777	0.501728	0.4815	hpgpEuroamerica	hpgpMediterranea	6.75
163	HpGP-COL-112	44787	1.305011	1.23245	0.001839	33.73	66.27	0	0.344653	0.570942	0.279894	0.239559	0.257187	0.278369	0.349928	0.495177	0.470356	hpgpEuroamerica	hpgpMediterranea	7.36
164	HpGP-COL-113	44787	1.307915	1.228701	0.000372	34.63	65.37	0	0.343847	0.572405	0.275678	0.235287	0.257946	0.278375	0.349335	0.49102	0.473243	hpgpEuroamerica	hpgpMediterranea	9.63
165	HpGP-COL-114	44787	1.309466	1.238821	0.00868	31.42	68.58	0	0.351661	0.570977	0.2802	0.236297	0.259507	0.281851	0.352625	0.498563	0.478932	hpgpEuroamerica	hpgpMediterranea	9.82
166	HpGP-COL-118	44787	1.333275	1.237687	0.005302	29.55	70.45	0	0.359603	0.572614	0.28923	0.243264	0.2619	0.278605	0.346177	0.484603	0.471725	hpgpEuroamerica	hpgpMediterranea	7.66
167	HpGP-COL-119	44787	1.311363	1.237649	0.008205	31.59	68.41	0	0.351807	0.578442	0.28615	0.246419	0.264028	0.281808	0.352784	0.496745	0.476503	hpgpEuroamerica	hpgpMediterranea	7.15
168	HpGP-COL-120	44787	1.32451	1.239286	0.005377	29.9	70.1	0	0.356637	0.576131	0.289116	0.242551	0.260853	0.278353	0.348142	0.49013	0.473958	hpgpEuroamerica	hpgpMediterranea	7.55
169	HpGP-COL-121	44787	1.335284	1.237945	0.006423	29.28	70.72	0	0.360983	0.57257	0.294504	0.242897	0.262584	0.279424	0.347857	0.484023	0.469869	hpgpEuroamerica	hpgpMediterranea	8.11
170	HpGP-COL-122	44787	1.317458	1.234382	0.012124	32.02	67.98	0	0.354706	0.580428	0.286871	0.243285	0.265824	0.286222	0.355271	0.492698	0.476116	hpgpEuroamerica	hpgpMediterranea	9.26
171	HpGP-COL-201	44787	1.33144	1.256465	0.003689	24.39	75.61	0	0.365158	0.575736	0.294834	0.259895	0.239958	0.2704	0.349369	0.496376	0.482255	hpgpMediterranea	hpgpEuroamerica	8.31
172	HpGP-COL-202	44787	1.333375	1.255832	0.002646	24.37	75.63	0	0.365286	0.575725	0.294216	0.259225	0.239364	0.269666	0.348574	0.494706	0.48087	hpgpMediterranea	hpgpEuroamerica	8.3
173	HpGP-COL-203	44787	1.320464	1.256466	0.005826	25.44	74.56	0	0.361542	0.578282	0.29127	0.260023	0.247594	0.272591	0.349293	0.502657	0.485114	hpgpMediterranea	hpgpEuroamerica	5.02
174	HpGP-COL-204	44787	1.330671	1.220041	0.007675	34.65	63.28	2.07	0.352962	0.575814	0.288778	0.256803	0.27207	0.287191	0.349489	0.476021	0.464669	hpgpEuroamerica	hpgpMediterranea	5.95
175	HpGP-COL-205	44787	1.083782	1.101374	-0.021771	94.98	0.72	4.29	0.195635	0.553899	0.210991	0.251515	0.270785	0.312466	0.384964	0.524871	0.485615	hpgpAfrica	hpgpAfroamerica	7.85
176	HpGP-COL-206	44787	1.282629	1.204349	0.002844	44.78	55.01	0.22	0.325465	0.572337	0.26946	0.248865	0.267605	0.290188	0.354828	0.490212	0.466409	hpgpEuroamerica	hpgpMediterranea	7.53
177	HpGP-COL-207	44787	1.1411	1.118538	-0.014168	83.24	9.77	6.99	0.228619	0.559662	0.213288	0.252532	0.27398	0.311057	0.376741	0.507511	0.480879	hpgpAfroamerica	hpgpAfrica	7.19
178	HpGP-COL-208	44787	1.083933	1.089505	-0.024824	92.43	0	7.57	0.190032	0.554887	0.204195	0.249658	0.271104	0.314143	0.38455	0.516837	0.482498	hpgpAfrica	hpgpAfroamerica	7.45
179	HpGP-COL-209	44787	1.321282	1.251596	0.002517	26.69	73.31	0	0.358706	0.575185	0.292349	0.260432	0.243083	0.27147	0.3485	0.498405	0.476331	hpgpMediterranea	hpgpEuroamerica	7.14
180	HpGP-COL-210	44787	1.336397	1.222362	0.000931	33.34	64.5	2.16	0.353392	0.568701	0.287305	0.252144	0.263597	0.280308	0.34262	0.472593	0.461489	hpgpEuroamerica	hpgpMediterranea	4.54
181	HpGP-COL-211	44787	1.29162	1.219464	0.008118	38.98	61.02	0	0.336932	0.572989	0.27556	0.240236	0.266776	0.288976	0.356664	0.496058	0.476275	hpgpEuroamerica	hpgpMediterranea	11.05
182	HpGP-COL-301	44787	1.309038	1.234818	0.004484	32.65	67.35	0	0.348272	0.569989	0.280717	0.242821	0.259214	0.27968	0.351323	0.495233	0.475723	hpgpEuroamerica	hpgpMediterranea	6.75
183	HpGP-COL-302	44787	1.309682	1.231926	0.007069	33.47	66.53	0	0.348526	0.570752	0.284695	0.247147	0.262366	0.282963	0.353669	0.493874	0.479031	hpgpEuroamerica	hpgpMediterranea	6.16
184	HpGP-COL-303	44787	1.335848	1.226334	0.002111	32.55	66.6	0.85	0.355127	0.568408	0.284816	0.241938	0.262323	0.279899	0.344884	0.475584	0.460052	hpgpEuroamerica	hpgpMediterranea	8.43
185	HpGP-COL-305	44787	1.356278	1.263976	0.00369	19.92	80.08	0	0.378122	0.575445	0.30259	0.261922	0.248102	0.266902	0.341877	0.487994	0.472704	hpgpMediterranea	hpgpEuroamerica	5.57
186	HpGP-COL-306	44787	1.122203	1.12309	-0.010405	84.88	12.17	2.94	0.224119	0.557541	0.209609	0.253063	0.273164	0.313241	0.381819	0.521078	0.487852	hpgpAfroamerica	hpgpAfrica	6.92
187	HpGP-COL-307	44787	1.33047	1.241079	0.00459	28.81	71.19	0	0.35942	0.576158	0.28625	0.243069	0.258282	0.276833	0.344291	0.487898	0.470971	hpgpEuroamerica	hpgpMediterranea	6.26
188	HpGP-COL-308	44787	1.316978	1.238533	0.007876	30.82	69.18	0	0.354301	0.569367	0.284895	0.244946	0.262674	0.281029	0.351277	0.494272	0.47744	hpgpEuroamerica	hpgpMediterranea	7.24
189	HpGP-COL-309	44787	1.338626	1.234904	0.001591	29.88	70.12	0	0.359233	0.573822	0.288691	0.246122	0.25858	0.276233	0.343793	0.47914	0.464449	hpgpEuroamerica	hpgpMediterranea	5.06
190	HpGP-COL-310	44787	1.355646	1.257447	-0.003922	21.71	78.29	0	0.372304	0.56738	0.297104	0.257797	0.244667	0.262691	0.336644	0.482318	0.472364	hpgpMediterranea	hpgpEuroamerica	5.37
191	HpGP-COL-318	44787	1.225289	1.189233	-0.003709	54.38	45.62	0	0.293664	0.563228	0.236248	0.247586	0.263165	0.291761	0.363787	0.509099	0.481754	hpgpAfroamerica	hpgpEuroamerica	4.8
192	HpGP-CRI-001	44787	1.288825	1.239478	0.003374	33.03	66.97	0	0.341264	0.570051	0.274306	0.241295	0.255831	0.277629	0.354729	0.508212	0.482861	hpgpEuroamerica	hpgpMediterranea	6.02
193	HpGP-CRI-002	44787	1.303126	1.233575	0.005605	33.55	66.45	0	0.34585	0.572784	0.278664	0.244994	0.260874	0.281288	0.352485	0.497863	0.478483	hpgpEuroamerica	hpgpMediterranea	6.48
194	HpGP-CRI-003	44787	1.320035	1.257683	0.011023	25.15	74.85	0	0.363959	0.574643	0.290518	0.248499	0.25949	0.276676	0.352988	0.505035	0.484682	hpgpEuroamerica	hpgpMediterranea	4.42
195	HpGP-CRI-004	44787	1.14979	1.146005	-0.005621	75.82	24.18	0	0.245898	0.561772	0.214448	0.254779	0.27253	0.308188	0.382025	0.52182	0.489958	hpgpAfroamerica	hpgpAfrica	14.67
196	HpGP-CRI-005	44787	1.320334	1.253149	0.013506	26.35	73.65	0	0.363421	0.57878	0.289064	0.248276	0.259484	0.28048	0.354951	0.502842	0.485524	hpgpEuroamerica	hpgpMediterranea	4.51
197	HpGP-CRI-006	44787	1.328419	1.244035	-0.002512	28.14	71.86	0	0.356751	0.5689	0.287031	0.245184	0.252162	0.269644	0.344461	0.488787	0.476324	hpgpEuroamerica	hpgpMediterranea	2.85
198	HpGP-CRI-007	44787	1.134717	1.143811	-0.000584	77.3	22.7	0	0.240983	0.560496	0.214457	0.258498	0.277015	0.313825	0.386653	0.529706	0.494134	hpgpAfroamerica	hpgpAfrica	12.37
199	HpGP-CRI-008	44787	1.316064	1.255034	0.012941	26.24	73.76	0	0.362139	0.578419	0.286436	0.245891	0.259477	0.279431	0.355913	0.506033	0.486363	hpgpEuroamerica	hpgpMediterranea	5.53
200	HpGP-DOM-001	44787	1.333713	1.269895	0.008915	20.69	79.31	0	0.373228	0.571783	0.300286	0.265009	0.249022	0.269967	0.350404	0.504685	0.485647	hpgpMediterranea	hpgpEuroamerica	6.42
201	HpGP-DOM-002	44787	1.340815	1.268279	0.007117	20.39	79.61	0	0.374797	0.571633	0.301792	0.260237	0.244946	0.268778	0.347592	0.499538	0.482299	hpgpMediterranea	hpgpEuroamerica	6.24
202	HpGP-DOM-003	44787	1.316716	1.247398	0.002304	28.28	71.72	0	0.355189	0.571181	0.28812	0.24568	0.253423	0.272957	0.348022	0.498198	0.479001	hpgpEuroamerica	hpgpMediterranea	3.15
203	HpGP-DOM-004	44787	1.036236	1.087932	-0.012482	98.3	0	1.7	0.174992	0.558924	0.205988	0.258627	0.280545	0.326896	0.400242	0.544026	0.50108	hpgpAfrica	hpgpAfroamerica	17.71
204	HpGP-DOM-005	44787	1.312247	1.249741	0.012314	28.04	71.96	0	0.358352	0.575672	0.292128	0.248078	0.257785	0.280936	0.356279	0.504666	0.485032	hpgpEuroamerica	hpgpMediterranea	3.91
205	HpGP-DOM-006	44787	1.041902	1.091616	-0.015551	98.6	0	1.4	0.177417	0.551917	0.204705	0.255554	0.275449	0.322711	0.40039	0.542454	0.499275	hpgpAfrica	hpgpAfroamerica	15.38
206	HpGP-DOM-007	44787	1.157776	1.165435	-0.008085	67.21	32.79	0	0.255368	0.560254	0.226588	0.257399	0.264407	0.298707	0.377614	0.528656	0.493721	hpgpAfroamerica	hpgpAfrica	12.7
207	HpGP-DOM-008	44787	1.319651	1.255529	0.008739	25.77	74.23	0	0.362061	0.571632	0.297014	0.26437	0.251754	0.27549	0.351834	0.503316	0.487068	hpgpMediterranea	hpgpEuroamerica	5.01
208	HpGP-DOM-009	44787	1.332831	1.26381	0.006652	22.32	77.68	0	0.369675	0.577913	0.299116	0.263735	0.248592	0.27025	0.349167	0.500872	0.484912	hpgpMediterranea	hpgpEuroamerica	6.09
209	HpGP-DOM-010	44787	1.322649	1.259247	0.011845	24.49	75.51	0	0.365949	0.571946	0.30044	0.266986	0.252638	0.27674	0.353157	0.504842	0.48599	hpgpMediterranea	hpgpEuroamerica	5.68
210	HpGP-DOM-011	44787	1.038885	1.08547	-0.015917	97.27	0	2.73	0.173749	0.553997	0.20498	0.256013	0.277931	0.32473	0.397908	0.540233	0.498359	hpgpAfrica	hpgpAfroamerica	17.97
211	HpGP-FRA-001	44787	1.332688	1.254038	0.003356	24.93	75.07	0	0.364631	0.573491	0.292627	0.254	0.24949	0.270959	0.347394	0.494182	0.480622	hpgpMediterranea	hpgpEuroamerica	1.81
212	HpGP-FRA-002	44787	1.393516	1.275236	0.001935	13.04	86.96	0	0.396835	0.57527	0.312084	0.26869	0.252472	0.260129	0.326181	0.474945	0.469521	hpgpMediterranea	hpgpEurope	3.03
213	HpGP-FRA-003	44787	1.3839	1.283994	0.011169	12.05	87.95	0	0.399951	0.581023	0.316669	0.272616	0.257055	0.265248	0.338244	0.487719	0.480419	hpgpMediterranea	hpgpEurope	3.19
214	HpGP-FRA-004	44787	1.38792	1.275574	0.004996	13.59	86.41	0	0.395929	0.580127	0.312625	0.270108	0.255435	0.262836	0.333061	0.478891	0.471627	hpgpMediterranea	hpgpEurope	2.9
215	HpGP-FRA-005	44787	1.348189	1.27468	0.005914	18.06	81.94	0	0.379699	0.574419	0.304653	0.260317	0.245165	0.265171	0.343093	0.499221	0.48639	hpgpMediterranea	hpgpEuroamerica	6.18
216	HpGP-FRA-006	44787	1.413481	1.290615	-0.003818	7.13	92.87	0	0.408354	0.583417	0.319485	0.270931	0.255987	0.248904	0.325764	0.472233	0.467706	hpgpEurope	hpgpMediterranea	2.85
217	HpGP-FRA-007	44787	1.502689	1.298941	0.010043	0	98.41	1.59	0.4537	0.587131	0.349612	0.29517	0.284929	0.255191	0.299499	0.434741	0.449772	hpgpEurope	hpgpMediterranea	11.65
218	HpGP-FRA-008	44787	1.397582	1.292911	0.00326	8.49	91.51	0	0.405609	0.579772	0.317948	0.272898	0.258838	0.254702	0.331493	0.4838	0.475411	hpgpEurope	hpgpMediterranea	1.62
219	HpGP-FRA-009	44787	1.319217	1.265842	0.0107	23.11	76.89	0	0.36652	0.57081	0.299483	0.267103	0.251373	0.27344	0.353452	0.510265	0.487302	hpgpMediterranea	hpgpEuroamerica	6.26
220	HpGP-FRA-010	44787	1.338595	1.263486	-0.002576	21.84	78.16	0	0.368115	0.572162	0.293509	0.254667	0.24084	0.262174	0.341066	0.495157	0.475652	hpgpMediterranea	hpgpEuroamerica	5.74
221	HpGP-FRA-011	44787	1.439963	1.279963	-0.00299	6.25	93.75	0	0.415589	0.578339	0.323195	0.27366	0.264935	0.252708	0.311141	0.45233	0.458439	hpgpEurope	hpgpMediterranea	4.84
222	HpGP-FRA-012	44787	1.432558	1.281861	-0.00307	6.76	93.24	0	0.413227	0.580561	0.323274	0.27706	0.268035	0.25217	0.314137	0.457289	0.458872	hpgpEurope	hpgpMediterranea	6.29
223	HpGP-FRA-013	44787	1.443313	1.285704	-0.002594	4.5	95.5	0	0.419256	0.583188	0.328744	0.277907	0.267842	0.250853	0.314367	0.454144	0.457238	hpgpEurope	hpgpMediterranea	6.77
224	HpGP-FRA-014	44787	1.432497	1.281556	-0.003526	6.84	93.16	0	0.412901	0.580354	0.322948	0.276766	0.267745	0.251887	0.313884	0.457013	0.458668	hpgpEurope	hpgpMediterranea	6.3
225	HpGP-FRA-015	44787	1.445205	1.285847	-0.000774	4.22	95.78	0	0.420834	0.585317	0.329175	0.279105	0.269596	0.252325	0.314289	0.453747	0.457637	hpgpEurope	hpgpMediterranea	6.84
226	HpGP-FRA-016	44787	1.428616	1.282861	0.000985	7.02	92.98	0	0.413654	0.581372	0.325557	0.277763	0.268027	0.255449	0.317172	0.461046	0.459021	hpgpEurope	hpgpMediterranea	4.92
227	HpGP-FRA-017	44787	1.305281	1.24699	0.000748	29.44	70.56	0	0.349713	0.572513	0.283902	0.242997	0.249404	0.272102	0.351955	0.50346	0.481215	hpgpEuroamerica	hpgpMediterranea	2.64
228	HpGP-FRA-018	44787	1.380931	1.281352	0.009624	12.99	87.01	0	0.397117	0.582592	0.315944	0.272552	0.256183	0.26496	0.340212	0.487251	0.482567	hpgpMediterranea	hpgpEurope	3.43
229	HpGP-FRA-019	44787	1.405311	1.278694	-0.006696	10.83	89.17	0	0.399396	0.572204	0.313376	0.266478	0.255509	0.251006	0.320488	0.468532	0.465429	hpgpEurope	hpgpMediterranea	1.79
230	HpGP-FRA-020	44787	1.329286	1.259192	0.005681	23.87	76.13	0	0.366108	0.571443	0.293293	0.25456	0.247579	0.271201	0.349221	0.499675	0.478365	hpgpMediterranea	hpgpEuroamerica	2.82
231	HpGP-FRA-021	44787	1.413586	1.282656	-0.002061	8.92	91.08	0	0.406166	0.576073	0.318551	0.271726	0.263487	0.253335	0.320568	0.467887	0.462022	hpgpEurope	hpgpMediterranea	4.01
232	HpGP-GER-001	44787	1.46557	1.297531	-0.001712	0	100	0	0.433128	0.585786	0.332728	0.278954	0.266836	0.246622	0.306178	0.449932	0.454931	hpgpEurope	hpgpMediterranea	8.2
233	HpGP-GER-002	44787	1.455094	1.286968	0.000502	2.66	97.34	0	0.425827	0.581335	0.331465	0.283144	0.272684	0.252722	0.307184	0.449639	0.45654	hpgpEurope	hpgpMediterranea	7.9
234	HpGP-GER-003	44787	1.402208	1.288932	0.004009	8.83	91.17	0	0.406335	0.576385	0.320161	0.271996	0.258452	0.256664	0.329772	0.479219	0.473422	hpgpEurope	hpgpMediterranea	0.7
235	HpGP-GER-004	44787	1.458998	1.289124	-0.006056	1.65	98.35	0	0.425526	0.578243	0.331883	0.277361	0.263915	0.246118	0.308523	0.447108	0.451113	hpgpEurope	hpgpMediterranea	7.23
236	HpGP-GER-005	44787	1.481401	1.292531	0.006876	0	99.31	0.69	0.441295	0.587578	0.341809	0.287718	0.277752	0.255429	0.303927	0.441073	0.450259	hpgpEurope	hpgpMediterranea	8.74
237	HpGP-GER-006	44787	1.450136	1.302534	0.006839	0	100	0	0.432185	0.582048	0.335644	0.282583	0.268457	0.252695	0.317487	0.463285	0.4641	hpgpEurope	hpgpMediterranea	6.24
238	HpGP-GER-007	44787	1.475513	1.293031	0.005751	0	100	0	0.438605	0.586278	0.340344	0.288683	0.27783	0.254448	0.304779	0.44412	0.44858	hpgpEurope	hpgpMediterranea	9.19
239	HpGP-GER-009	44787	1.452707	1.297412	0.007553	0.71	99.29	0	0.431631	0.585608	0.335016	0.283834	0.273562	0.255108	0.314052	0.459075	0.463256	hpgpEurope	hpgpMediterranea	7.23
240	HpGP-GER-010	44787	1.476276	1.285801	-0.001477	0	97.93	2.07	0.433256	0.581264	0.334345	0.283867	0.272917	0.250784	0.303551	0.437405	0.44901	hpgpEurope	hpgpMediterranea	8.83
241	HpGP-GER-012	44787	1.492986	1.290278	0.006063	0	97.08	2.92	0.444869	0.586716	0.344597	0.291369	0.281069	0.255192	0.301921	0.433488	0.446337	hpgpEurope	hpgpMediterranea	10.14
242	HpGP-GER-013	44787	1.474819	1.280303	-0.006297	1.39	95.04	3.57	0.428633	0.579727	0.330506	0.279329	0.269508	0.248648	0.296715	0.433542	0.441904	hpgpEurope	hpgpMediterranea	8.39
243	HpGP-GER-015	44787	1.50783	1.292931	0.004687	0	95.97	4.03	0.451369	0.588322	0.345293	0.290587	0.280265	0.252575	0.295929	0.427	0.439937	hpgpEurope	hpgpMediterranea	10.96
244	HpGP-GER-016	44787	1.477228	1.293329	0.00562	0	100	0	0.439364	0.587761	0.339201	0.28622	0.276987	0.254173	0.306864	0.443373	0.451919	hpgpEurope	hpgpMediterranea	8.98
245	HpGP-GER-018	44787	1.372096	1.275356	0.000811	15.39	84.61	0	0.387641	0.575081	0.308896	0.264957	0.248007	0.259761	0.335701	0.485823	0.474351	hpgpMediterranea	hpgpEurope	4.74
246	HpGP-GER-019	44787	1.437821	1.284819	-0.000674	5.41	94.59	0	0.417469	0.58216	0.326423	0.276662	0.265273	0.253012	0.313302	0.456989	0.456637	hpgpEurope	hpgpMediterranea	4.85
247	HpGP-GER-020	44787	1.45703	1.300521	0.006302	0	100	0	0.434041	0.590086	0.335974	0.284618	0.272241	0.252754	0.312544	0.458354	0.461119	hpgpEurope	hpgpMediterranea	7.71
248	HpGP-GER-021	44787	1.488137	1.283022	-0.004763	0	95.46	4.54	0.43573	0.580651	0.335419	0.283265	0.274239	0.248583	0.293106	0.428683	0.436831	hpgpEurope	hpgpMediterranea	10.32
249	HpGP-GHA-003	44787	1.031412	1.081143	-0.012345	97.06	0	2.94	0.170552	0.558877	0.203324	0.258237	0.280755	0.329642	0.404172	0.542494	0.499934	hpgpAfrica	hpgpAfroamerica	19.22
